Student_ID,Age,Gender,Year_of_Study,Academic_Stress,Social_Support,Financial_Status,Work_Life_Balance,Mental_Health,Healthy_Life_Expectancy,Generosity,Freedom_to_Make_Life_Choices,Ladder_Score_in_Dystopia,Academic_Year,Sports_Engagement,Average_Sleep_Hours,Social_Relationships,Stress_Relief_Activities,Depression,Anxiety,Isolation,Happiness_Level
14,24,Female,1,4.496922227911009,5.239180053386541,6.768404144011793,4.73813833252442,5.50460256039681,5,10,4.571296433431761,10,2,5.119925715391413,7.756727002853428,7.057126758579239,7,1.0,3.17852787984833,2.700416150419533,5.777674074376089
15,23,Other,2,3.8049796106167166,6.703093406522977,4.011142956400415,4.11587963285151,8.032307959679324,9,9,8.20055036029048,5,2,7.839688974746107,9.051509464085582,7.847296198233939,7,2.521139518076555,2.450520062720465,5.690364782580102,5.520745458350592
16,23,Female,3,7.844739723397016,10.0,6.499096379196154,4.904008362517724,6.334589754688921,9,2,9.159733911211015,9,3,5.5410269509328005,8.306617069295047,6.2668003024736025,9,3.348577228223672,5.739020284816563,1.0,5.300301804065643
17,25,Other,2,8.477799327595157,4.25247662919096,3.633887630531222,5.571699378577622,5.719265368743434,10,4,9.926315973984433,6,2,1.7867945292839882,8.153169698454844,7.3118945379425115,1,1.5371018647046093,1.2257435544105202,3.2670203437097802,4.427651297192162
18,27,Male,3,6.957716101563591,5.423035132540983,5.494473489807629,7.674308972662769,6.035224986959454,7,6,6.665310142954216,3,3,6.010778023464273,6.6933117844795,7.975734459982654,6,5.5933001909100994,4.086234195831582,1.6333413323445374,4.545172597718194
19,26,Female,3,5.1706362851300485,9.24614752476944,8.058826201910652,5.357681922588595,8.048429607576132,8,3,7.724220790379249,5,1,2.6739942844331117,7.229643055567797,7.996828621591273,5,1.0,5.286556804074156,2.4647685178300436,5.459606715811105
20,24,Female,1,3.3834685567181473,9.786553515306599,7.593403854141484,2.8287485864608146,6.056443208194583,5,10,6.621234456932297,10,2,7.81361505746593,5.681723707970058,8.162160085111536,4,3.8185167067549735,6.460251991372214,1.0,6.148906412471904
21,29,Other,3,3.3391111868868695,6.844853163564574,6.030365885080866,8.28013569299032,6.823517602596754,6,10,8.80675731339718,8,1,3.354264790004044,7.498914400964415,6.447500934941235,10,3.2525254629741203,1.376451665548771,4.9694643276546415,6.3902445156295045
22,23,Male,2,6.045028210531515,5.141420946210037,4.050386848154316,4.32581973276992,7.022541625430645,9,7,6.8665682668785175,9,3,10.0,7.274460177613841,6.2794604912629675,1,5.437641704547866,5.0487712146159565,3.3011939332305786,2.920253509538819
23,24,Female,3,5.836796441777367,10.0,7.291175424348387,5.882559145790743,4.123976670984551,7,7,7.610167577324067,8,3,7.934751976655356,7.023385125156181,4.608735512098595,4,1.0814529547806078,3.411801413600692,1.0,5.675683221310918
24,25,Male,3,7.803197185892859,9.391663587623796,6.038762475396051,6.893073013881423,4.793310391939723,10,5,3.7291630895942682,3,2,3.4067748607440427,8.02719478824286,7.784828516765405,10,4.411658036649521,5.104482821887835,3.8372429231081795,4.168018396664244
25,26,Female,1,6.300900185072278,8.01842048164335,1.3593688035391533,6.399220836805566,7.5044168338713435,8,3,5.537674449264655,9,2,5.040027610003221,5.792225177575603,8.623568066985165,7,3.9542116571703017,1.7106620341757384,3.4160017863911567,3.501766782285221
26,33,Male,3,1.993839396480364,5.78139647659387,7.565259652633037,8.188359095042951,5.894455958270955,8,2,7.627272297284471,3,3,6.507288563266927,8.634862851160348,9.423972519876894,4,3.488279541732358,2.7674805517468384,1.6223496059978453,5.890337575984022
27,24,Other,3,7.103895235445837,6.926455988742945,5.951534332260616,6.958006286785518,8.585087366920629,5,4,7.4479454881387355,8,2,6.567320948453416,7.901764687940284,7.457758951870762,1,1.2268665329841653,2.2726374558442153,6.93639826470841,4.3018170487386085
28,27,Female,2,3.003878745371174,6.759459878432754,8.404902495966144,4.277380840605784,8.450210656375816,9,4,7.797806419738219,10,2,5.884672519952394,6.929366020348026,5.850280340637147,10,1.4537717262328067,2.0983794201776433,4.03219208592586,5.483759756449193
29,29,Female,1,4.232057456095297,7.496276956923366,3.8094589623143906,10.0,8.078752999533156,5,8,6.2413092943817725,9,1,7.50431807393222,6.851270412182607,4.454355785065816,1,2.407375986957054,3.0822770775245956,5.580440630410213,4.334901295937726
30,22,Male,1,5.500400412503389,9.176502157197003,1.0,6.388666926676467,9.729657680968897,10,8,4.695955993729441,7,3,4.754062106731261,7.480611215248595,8.562500099625026,1,1.9946820386116457,7.989796159187288,2.6777410415470904,4.361401954105165
31,29,Male,1,8.99133497956793,8.319125561706105,6.55816771669037,5.7053195467569875,6.8753660083852255,6,5,5.882106932962092,4,1,4.266564662847934,8.52085123206378,4.305585149833696,10,5.520225093505575,4.337761120603965,1.0,4.63479878636411
32,23,Female,3,10.0,5.383935884522863,6.583127353363945,7.927850846111141,7.973322888855758,6,6,6.094068728017007,10,2,4.306272024150779,7.101607718690011,6.48909388338435,5,3.2711155380798544,2.2977545172528777,1.0,4.241509298743551
33,22,Other,1,6.2134461182723655,9.064744675029306,2.618656744787096,6.498901891860145,6.123398535105953,6,8,6.483481617065151,9,1,6.716746463944254,7.144030901979226,6.663539758084531,7,4.589520116967307,2.416084320216135,1.0,5.444494153140081
34,37,Male,3,4.633606762559224,7.469698210019733,4.043000908266787,6.798456385878654,10.0,8,1,4.064269146229826,3,3,5.730362080605293,7.018118477625872,6.895817293223471,9,1.0,4.125103773660925,5.695744129385293,4.039193893537546
35,38,Male,3,6.069011296961101,8.030598693788374,10.0,10.0,9.975450478654029,9,5,5.468266828625405,3,1,5.582567331380512,8.782024112701473,7.05370390005376,8,1.0,2.6276825914692585,1.9803120214028307,7.000666942771442
36,33,Male,2,6.775310851747673,9.199811288917903,5.388778771692393,5.449757143489907,7.017820651776688,5,4,5.822664781011742,2,1,6.590468498514364,6.631116897062976,7.207221334551362,2,2.6443744302052994,2.6347496999893454,5.082395871506563,4.362612012735804
37,25,Female,2,4.358664748885617,5.332629625729673,7.461917952752432,5.364478211965208,7.579879344857789,5,4,1.5155566825119413,10,2,1.0,6.970492401380929,3.3769551068822055,9,1.0,1.0,1.0,4.444482228252534
38,23,Female,2,8.590422711824644,6.946261631940305,4.698680345263233,6.233157024024927,9.038946399047209,10,2,7.665009562747537,3,3,5.620137647750301,8.463435654260994,7.02198386480519,4,3.0797585312935696,2.905877611857658,1.6748334135459084,4.258008718309395
39,31,Female,2,5.460141518382804,6.2028181729611775,1.8193942022936866,8.143031871162076,6.77929074277884,6,10,6.328031913281222,1,2,5.437137777747432,7.147010833612864,3.655636638832184,10,1.3137897985359075,1.0,1.9630183925619415,5.2166912315738445
40,26,Female,2,5.995486178182788,4.648210861951816,5.659483506408189,2.986931939619202,6.015063893800443,9,1,6.530637740896438,4,2,8.33761616260141,8.137058860045522,8.098327109636493,5,3.612371264210936,1.0,3.4503141645279793,3.9397547637547383
41,23,Other,3,6.3318485041089225,7.5200649664073795,5.4687908794277895,2.0688882170469896,8.310984626510324,9,6,4.969007377943439,8,3,1.942824035472666,6.088719943097042,6.167312266294582,5,1.4343245416412636,2.299383187286618,1.0,4.726718715537979
42,27,Other,3,5.843173221228911,10.0,5.200243522663257,4.825769458759705,7.117658869125505,10,7,7.172500751060506,5,1,8.114373264753516,6.794707478371486,3.7644449121649743,4,4.12210600703724,4.320548869347106,1.4112590002579317,4.879959485727039
43,22,Female,1,6.677881000939225,4.239883383241371,5.770718328987215,2.7321540818814256,7.274491674467891,7,5,4.336148352133125,2,2,5.150818257849331,8.484434038440229,5.778692983921936,6,1.2380003733382248,6.222719586641199,2.5336982737926608,3.5228479240047386
44,36,Other,3,3.765493626906154,6.951579083425795,6.528536543291273,5.150337304948723,5.7485929853980515,9,8,4.650371511537726,3,1,5.97797906132009,6.323660284236454,6.14488699122302,1,1.0,3.80273501184448,1.0,5.820880033984321
45,24,Male,3,3.8833964921079387,7.96081440261216,5.699766097492387,7.004999392258581,4.423491777454906,9,9,7.256660091483593,1,3,8.351837575218752,6.848700960230293,8.786049426332507,2,4.705406026255659,4.068465695097897,1.0,5.741258755252557
46,30,Male,2,2.79969153405661,7.184617302484272,3.4719876641052725,4.218502272895472,7.354213614818652,5,2,6.7143234722881004,2,2,6.121522536011146,7.256685230891478,7.294956612625367,4,1.4625432549793531,3.225696818869994,3.05712426732932,5.3205472956671125
47,25,Male,3,5.879002461240453,6.83030792122639,6.972369583123878,3.146346846437315,8.3574430622413,10,4,3.4447994696634128,1,1,5.800736578925122,6.010845482007014,7.516667416525871,4,5.745006671026168,4.6768262101526705,1.0,4.244968393038066
48,27,Female,2,6.557873007024228,5.051175454831263,2.1012564893551535,6.1386743234306955,6.661289876385937,9,9,9.154741740176071,2,1,5.4845823716046365,6.586189881378103,8.771832451330901,8,1.7169911670496014,3.426767108721948,5.429209532316433,3.9334977692092723
49,28,Male,1,5.915545732303771,7.349180114410245,1.8992850854315995,7.7250869692303406,9.1546442793383,9,5,4.483004692853706,3,2,4.033043730011246,7.112636681825641,6.8557835681132655,9,1.354682118457751,3.7452253621522247,5.4842002300817105,4.165363795196103
50,23,Other,1,8.348984866695075,5.86485403447611,7.478360989403136,2.6100531229667747,5.944125511876683,5,3,5.734812890757322,1,3,4.943021750979214,7.046681734161961,8.131281941548604,4,2.431948378957724,1.0,1.8331227026499393,3.210040404580956
51,38,Female,3,4.988807962341907,3.7151174425321702,7.014040544270713,7.640464796611968,5.417943317551121,9,6,9.493574773203903,9,1,3.5689744677545026,8.280352020837135,8.025791670897988,6,1.8792286905799083,3.5259227996017213,4.204036945115005,4.331147885493277
52,32,Other,1,6.337483311185025,8.791888330770597,5.885209269851928,7.634612407476652,6.899154539205803,5,3,1.8804368615798221,10,3,4.910866201149036,8.541457194832253,5.070295759645882,4,3.2523362688540054,3.046532793847314,3.1380700017823644,4.858617381248737
53,37,Male,3,2.8165982477213714,8.437578729763064,3.209102990489856,7.908170204313256,6.876111136973064,7,5,2.5874783600607207,5,2,1.0,6.1439151279990885,9.209475366444744,4,3.8051840027496575,2.167718483980073,5.135606699644365,3.7603810512953815
54,35,Male,1,4.225800595051198,7.07749146527662,4.584178118651849,8.436960429743372,8.154953097002833,8,3,6.883867374177035,8,1,5.858079135135097,7.111268519167489,4.869547329893958,9,4.1085592840774785,2.3149598577320765,2.0834649749455774,5.424696754600267
55,29,Male,2,6.391075515131555,7.343612032308554,5.474506504626992,10.0,5.837555763904023,5,6,1.0429265682923612,5,1,4.756525492432749,7.674248308424765,8.376049974216773,4,2.8285459842604435,1.0,4.020868665538732,5.522427973081078
56,36,Female,2,6.698204221486288,8.611477019073343,2.8082120628517733,5.287815902761889,9.052141355222346,5,10,1.9130129950297574,8,1,4.327592526666471,8.516347465799198,4.724390444641551,6,1.0,4.07817349176036,3.6235731078352944,3.5828277953451972
57,22,Other,2,4.412066104671635,7.336509485167124,4.521942683953534,6.219143160155716,9.95037544376238,9,5,8.350315652588282,7,3,5.439516167880287,7.718490297317129,7.90185518222751,9,6.446878961550181,3.4699804003547157,3.5216197038271955,5.781888856488152
58,24,Female,2,4.856801496283866,8.356026332141973,7.304660676353359,5.167123133503949,6.941283959547487,5,9,5.18225326319182,4,1,2.1328721540691187,7.290913401592332,9.792872317225259,3,2.261357835265238,3.1384164981780653,1.7681917010205734,5.624509313564821
59,22,Female,3,1.9642525066383811,6.553776698689225,8.854610728578432,6.003953689511621,8.874565630276479,10,3,10.0,7,1,8.858539993242566,7.666542531982631,6.680532015174683,7,2.157034080618825,3.4600021086422523,5.3714145491144425,6.241374871567139
60,25,Male,1,4.285941598386781,8.96797560786092,5.161130494682899,9.065746711272624,5.41525439406211,6,6,3.9304604438928674,6,2,4.7944650770248005,7.67376883433626,6.61546653572028,7,2.822241672563554,1.0,2.1840765618613913,5.3860956907138275
61,25,Female,3,6.780766327039572,7.481178588899025,7.512976708632197,3.3099710321386624,8.612832311772873,6,8,5.363036402259039,3,1,4.708311134055621,6.072285707715632,7.915659998975274,1,2.4773778704838216,6.526645737496116,2.1717566599693536,3.742055856441388
62,24,Female,2,6.1504100322131325,7.2910779154088114,2.1718798588250654,4.277900655668849,8.570914612839193,7,7,7.081261452357172,9,3,3.0692075797341554,7.192798792506268,6.505905316056186,2,1.0,4.886179469873203,1.5596805309718844,3.0741829586925586
63,33,Male,3,6.001331442762419,5.094908366931952,7.318902482227223,8.754361873009122,8.295155920284818,5,6,6.943056968350478,10,2,5.047892764898522,8.459160994188691,9.727418055614232,5,4.149930390336584,4.241230031455052,1.6804488809098606,4.748356123406731
64,25,Female,1,5.09954737436192,7.430433781452563,4.392103170545038,8.040073013804179,6.976655366694559,10,2,5.49020076902231,9,2,7.773919780546561,6.792643231305996,7.288288374188044,8,1.3591570306181664,5.969035007603827,2.5205477128199028,5.626306576001087
65,24,Male,3,5.014126317256353,5.7520676237583235,6.6146912334159405,5.273736706365844,2.5686265881369534,9,7,4.703079978115164,5,1,7.0718324188640675,7.129446642547444,6.519745737668911,6,2.3523639749502516,3.4222344754417504,3.89949874236221,4.363744381176646
66,28,Male,1,3.6793577210531057,6.042575910207258,5.504495163520581,7.70880400224144,6.0374092845218055,9,8,6.462724648682581,8,2,6.708875502281112,6.757483550473978,6.189571708156475,7,6.5186790701236585,2.4350275248529583,4.56670669564251,4.4567887424510255
67,23,Male,3,6.3976568404050695,5.7769365575258185,8.640828019567667,6.682431684984066,6.0611259734730965,8,1,8.753771772351698,7,1,6.092797903334543,4.686140504393125,5.600577294740469,3,4.888975163694727,3.5476458605330135,3.2572786983650728,3.510357485804729
68,33,Male,1,5.841945888778779,5.400647602151162,4.2511287033201635,9.000549218001975,5.5326175929092845,7,9,7.52561737914659,9,2,4.282914944874781,7.020590177234679,6.058367519863766,6,6.224396634816552,6.053868084511599,5.832543810967715,2.883085010069565
69,22,Female,1,5.984037695985599,10.0,7.255212595123663,6.149019187653545,7.183364506820599,10,4,4.73506316737973,7,3,2.099673665926596,7.301791930652873,6.473989909512105,9,1.6459745627251303,1.2110315209108502,3.235342795558318,6.104016331443422
70,39,Male,2,3.9479303146648395,8.997008592982604,5.440985073406933,8.051264227745165,6.371554831718148,10,8,4.01645470784132,4,1,4.59792245626673,6.487506609119098,6.26854138975213,3,4.460072026973512,6.029984481530384,1.0,4.837157829874373
71,32,Male,1,1.0,9.880551253216392,5.6833890439806725,10.0,5.763081985352467,9,10,4.614422024580084,4,3,4.5282570709326455,5.845363051115272,6.012737088794344,6,3.8065250053413595,1.0,1.0,7.241846459632752
72,24,Female,2,7.194305423507391,5.165657470666654,5.6322922136815805,7.196198310094933,5.4117997776282705,8,7,3.4525142292683686,8,1,7.0975888793424815,6.119393540218351,10.0,7,2.8907533325502532,4.066161480750797,4.400042253317952,4.164020464055764
73,22,Female,2,4.042325087983191,7.1068806248663385,4.308653791011774,6.098656331589687,5.926730521772157,9,10,6.294818964654489,6,3,5.618780884919641,7.7641876161355645,5.454857385265765,5,1.4988062754744824,5.020423754156715,2.349284986871904,5.937419864211175
74,33,Other,2,3.2744484719137588,5.059738562193856,5.971802068186657,7.444893970441958,8.682248817774893,8,7,7.627572357468567,9,3,8.224623055807097,8.972524773046905,7.2199488814692625,10,5.16920872291327,4.288869005391035,2.2125189540382397,5.069015686507849
75,31,Female,3,6.386957823827988,5.956457684204404,5.874703555756357,5.26943828359223,6.008462418058759,6,2,5.857320002999193,10,2,7.394977080076349,8.382433340905433,7.888781514641308,8,1.971773953712744,5.09510755666982,1.0710696131740662,4.221060085997688
76,31,Female,3,4.215974720161741,5.622809524875137,6.482480496813459,10.0,6.2275919403500914,10,1,9.439533585859031,7,1,4.087008780991809,5.655653995169448,7.945161993375599,8,3.2725659521078754,2.7449823637736093,2.199488737426336,4.998506484466822
77,32,Other,3,7.119872768093243,8.859376009662341,6.169010291385725,6.360142075391963,6.314953577465131,6,4,9.55082915030938,7,2,1.4097416067602633,7.854627310550703,6.912089386326292,6,4.826226937575875,1.0,2.2291779745465257,4.627567412503436
78,22,Female,3,6.234011899153395,6.40565548284736,7.5959890992244725,5.454133359548974,7.5084902707141294,9,2,6.615470537656843,4,3,7.771150467882962,6.33683762419071,6.6389461422290355,7,1.0465454480377578,5.100509375433816,3.9811957135915,4.169869058624229
79,25,Female,1,6.367138646400955,8.602569000541024,7.847017232094737,4.328621989959927,7.684374232792799,7,8,7.403875480953367,3,1,7.718770446461488,6.417732937491223,7.677321236859259,3,1.0,6.697230395840364,2.5107329366334152,5.410009632957739
80,23,Female,1,2.2680885775989315,7.906181334382777,3.8987533563443977,8.194440383212877,2.433015191135257,5,10,4.199084044061104,8,3,2.267576818195548,6.538024402028716,7.399782474967301,7,8.032210874412298,2.6707134349105024,5.553002007735364,4.957490273702578
81,34,Female,3,7.423887970772801,10.0,7.737545001181542,7.734374825655477,8.532452820741412,7,7,5.2783870123216445,7,3,8.018480039655001,7.706066949855431,6.61156174784873,7,1.2798775042843094,4.363878427289785,1.6901005923927377,6.166813766846924
82,29,Other,1,5.522501062467712,4.780833665290414,3.627327145780291,5.005291257171813,9.15455205136563,7,8,8.544540755533099,4,3,5.764234341185036,7.9592533764490385,4.657182142413354,4,6.23347073296638,1.3472191033331922,3.4088642197426604,4.5541422157992155
83,25,Female,1,4.261445721507593,8.888849859680198,7.17571177627547,7.152902690244845,5.424720193957496,5,6,4.841454765423117,4,3,5.321370996251306,6.901968928720212,6.298114416500129,10,2.8939933125942665,1.196357869745039,1.0,6.433087967546738
84,22,Female,2,5.286776934684502,8.719661305601091,7.239477569405738,2.982888063574287,5.541552632897748,10,1,8.974759614032903,1,2,8.229566508494655,6.918929258991975,5.280174754438813,4,2.1482492531364628,3.2146990103621973,4.317971983557175,5.051173441592007
85,25,Other,2,1.44752953420336,5.539931742959448,2.177366216674992,6.369941150146312,6.324619918332592,6,9,8.225128204149666,7,3,7.68937034646123,7.464263743235793,5.99926067490051,3,2.34670368171653,1.5446828890401134,1.0,6.357817426695426
86,25,Male,2,5.817305622961341,8.51070000470974,6.185958493058819,6.905512704153389,5.865993970815093,6,6,7.503247922092715,1,2,6.3026619039904075,7.567994539524242,7.049834857775439,10,2.8755661957288,3.1924403968964135,4.140050900094048,5.419766076833565
87,31,Other,2,2.941256983635857,7.504217444539343,5.063007773279368,9.414659619118446,7.335890310919909,10,10,3.6546102206807203,10,3,5.946434131623966,8.17622570675853,7.538104215994924,7,5.675826185152781,9.060636293092616,1.0,4.68794814612866
88,30,Male,1,2.294659428312931,6.658785610069888,4.4824694841292505,4.458362394542621,4.0802120704617035,5,1,5.376027031859357,10,1,6.232788581060718,5.715628024490801,9.670679126938609,5,4.512201474374656,1.5882359208368368,1.0,4.543688838917628
89,35,Other,3,1.9552816275642178,5.764096769542,8.701704661398011,3.4432947423953513,5.3231085879448905,8,1,7.288417677688256,4,3,4.199885132234948,7.02002733980403,6.193890431644279,3,2.576771576765446,3.6831106288624382,4.67574645649078,4.514131830083174
90,26,Other,1,7.2253767499798505,5.921335822826221,4.692641718725162,4.209144078149917,9.308795800262361,7,8,4.028503850995939,3,3,4.889797100535358,5.931975624108823,8.161938452912725,6,1.0,1.0,6.1286486794296176,4.899136919641928
91,23,Female,1,3.7414732126144226,10.0,4.3872461417639,3.32686299937016,5.607670048977973,9,6,5.619845505566803,3,1,3.195365690810915,6.949057720936597,7.458940036656755,6,3.041235970344821,4.046599139687072,1.0,4.739211446770633
92,31,Male,1,8.067455419833,7.001024228436224,6.1513898800101865,8.673314715517966,8.865142417154388,6,8,7.504261898255276,1,1,4.3339204485221625,6.773824712319239,8.943996505959685,6,3.2656718857509848,1.5891810663585277,1.0,5.920077163628285
93,32,Female,2,3.9283970738954044,8.173195002297188,7.371179492596832,9.097278590048074,7.5330072933852055,10,8,4.863655544155408,4,3,4.266732242662134,6.953250546097298,7.864343079393439,2,5.5170337350192336,3.5852777724593126,6.659079793580906,4.73084089744894
94,28,Male,2,1.5852840848141065,5.813650927498671,5.716702827979746,6.640433155897658,4.286098428117613,9,8,4.307091017462704,1,3,3.7293892607566708,6.200257111889468,5.487277859070526,10,1.0,3.531784085926587,3.2840393226021063,6.049993952540415
95,32,Other,2,2.7669511201026817,5.830220580667541,8.332741091338505,8.442589891370297,7.9529937928243095,5,10,2.3984510824236414,8,2,5.273493005296926,5.512710206792571,4.415430956063153,7,2.012972741914081,3.278222641040195,1.0,6.19548530974524
96,27,Other,3,7.471623240013877,8.622977213874913,7.061951323928181,6.26791676116047,6.82349904671072,9,7,5.226731604571383,1,1,4.3520382985988455,4.905562473285097,7.4668925495012575,7,1.9498613553717339,1.1051120061875563,5.954058727771459,4.447638177752367
97,27,Male,1,4.688203644126665,4.975635682672702,1.6435773605371393,5.809776704598468,6.31679941562539,9,7,7.546363025620275,6,1,6.004469440703948,6.8688198457351595,6.207323503149414,10,2.888242491021232,2.4323192186376206,4.170840882014228,5.119461454104272
98,26,Female,3,3.903425407018798,6.377179348142093,4.941066072985984,5.333924761892477,7.367435639758006,7,10,4.254192649347004,7,2,1.7553587734124694,6.568998894167061,5.529529381074104,4,3.182087941397204,3.4714356238250295,3.2200374300850823,4.799489271440869
99,22,Female,2,5.320036451705575,7.051041116608348,4.876315801296602,5.379218017244869,7.711950228350188,5,4,6.0357442129354135,10,3,4.773290411785401,6.324062335196173,5.0986334432003835,6,3.876818771078523,2.514724869095301,1.0,4.7975771684566455
100,23,Female,3,6.00356547233509,7.167058902760079,6.958721906858845,2.9043968873819375,8.06138773296193,9,9,5.551581456411865,2,3,5.263103280354992,8.32254846283166,7.241463246380733,4,1.0,5.806615169875977,7.191974580937586,5.135372652351605
101,22,Female,1,7.234797631804922,6.731360072475765,1.0,6.528509527214678,8.767379271322003,6,2,4.666752888063905,4,1,4.378741520326239,6.140561813204689,9.261561548970047,4,3.34595562703982,3.0820326068202895,3.5247619257201284,3.705262506495761
102,30,Other,1,7.896998459785852,7.593729671643885,10.0,5.919332179571913,7.612203869167534,5,9,7.6754111987517755,3,2,4.655214600381537,8.416834082138802,6.386991481440938,6,3.4913002542286677,1.0142592668502324,2.3806806426908134,5.6344629202530365
103,25,Other,2,4.280462708421829,8.039283633726717,7.06205218978842,7.490721448155751,4.936548866820457,6,10,9.284544562331792,9,3,1.8295079785402852,8.623843744269257,7.885405466612983,9,3.150302452416039,3.8628648394297977,5.923484242162929,6.321695345535049
104,27,Other,2,2.3479046278359235,8.101956318188995,6.297753607835382,6.187046992877219,6.289531813523213,10,3,8.008675887283406,7,1,5.712954209338984,5.049099533210619,6.846600474673611,7,2.644767584453297,1.0,1.1666278276632205,5.8343229064073
105,36,Other,3,4.173069677753448,5.52129428699826,8.363135432838293,5.6745925968618165,10.0,10,2,4.608127195098571,2,3,6.295211965134141,7.09238145899897,5.065926866344911,2,1.0,6.923097446488017,1.0,4.3639683010111
106,24,Other,2,5.520561013165772,6.573767353106804,10.0,4.257613939984738,8.086736590572592,8,4,9.98473132769189,6,3,5.987074588407534,6.600303509164009,8.102217015265627,6,4.13628914534693,1.0,1.0535624632691587,5.736594229197859
107,26,Female,2,3.0724821475787785,8.792144292815406,7.741493289176806,6.144306473643523,10.0,10,5,8.00280582046013,9,3,7.077454118884366,4.088196055282735,5.3579619339589435,5,1.053589788438812,4.792921840340485,2.2401802021296393,6.286856884670255
108,32,Female,1,3.0856981702099144,8.341970781360809,7.89762619294324,7.476474461632324,9.093151123298778,9,2,5.0852858620714185,3,1,5.403059211565004,5.555358746931586,7.0324399458903475,6,4.2274209858492195,4.481575986543861,3.0535414655100706,4.695961426879592
109,24,Female,2,5.687575763099771,4.940710822778405,6.261380048928765,3.7133220178322786,7.362703107333623,5,1,4.449347235776172,6,2,5.9573623613018745,7.774936107108474,6.487719377492042,8,5.500289633560238,1.0,4.280282347984595,2.4821793298745067
110,22,Female,2,4.902695296859098,7.527219850528303,5.716948493266104,6.174947507361479,7.4521106046716765,10,10,8.242078527689847,3,2,5.312181476913705,9.019199252711264,8.339616151848539,8,1.0,4.118917337534117,1.0,6.269261324339657
111,24,Other,1,5.065593990823173,4.032662125937785,5.048409111990198,6.466085903058968,6.9451299401847315,6,5,6.347538403914546,3,3,6.375101439184988,7.902678142699249,5.41277351129397,3,4.166518521933059,1.6210365463531085,3.6065706746604542,3.88696981999353
